127.0.0.1 - - [15/May/2020:12:05:53 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [15/May/2020:12:06:16 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [15/May/2020:12:07:00 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=njrbtst&agencyid=NJTP&filedate=2020-05-06&trxDate=2020-05-01&ViolType=NOR&NumNotice=10&violnumber=5 HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [15/May/2020:12:07:49 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [15/May/2020:12:08:04 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [15/May/2020:12:08:45 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 33701
0:0:0:0:0:0:0:1 - - [15/May/2020:12:09:20 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 33698
0:0:0:0:0:0:0:1 - - [15/May/2020:12:09:56 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 8894
0:0:0:0:0:0:0:1 - - [15/May/2020:12:10:59 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F3KJP2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:12:10:59 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F3KJP1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:12:10:59 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F3KJP6 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:12:10:59 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F3KJP4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:12:10:59 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F3KJP5 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:12:10:59 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F3KJP3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:12:11:03 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F3KJP7 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:12:11:03 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F3KJP8 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:12:11:03 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F3KJP9 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:12:11:03 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=F3KJP10 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:12:12:30 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 33503
0:0:0:0:0:0:0:1 - - [15/May/2020:12:14:44 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [15/May/2020:12:15:13 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 33801
0:0:0:0:0:0:0:1 - - [15/May/2020:12:15:40 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 19022
0:0:0:0:0:0:0:1 - - [15/May/2020:12:16:32 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [15/May/2020:12:17:06 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 33607
0:0:0:0:0:0:0:1 - - [15/May/2020:12:18:04 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 16591
0:0:0:0:0:0:0:1 - - [15/May/2020:12:19:55 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12279
0:0:0:0:0:0:0:1 - - [15/May/2020:12:20:18 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 27672
0:0:0:0:0:0:0:1 - - [15/May/2020:12:21:44 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 23100
0:0:0:0:0:0:0:1 - - [15/May/2020:12:25:32 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 33556
0:0:0:0:0:0:0:1 - - [15/May/2020:12:45:00 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [15/May/2020:12:46:10 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 23100
0:0:0:0:0:0:0:1 - - [15/May/2020:12:52:07 +0530] "GET /WebApp-01/RunNoticeProcessing.jsp HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [15/May/2020:12:52:07 +0530] "GET /WebApp-01/IMG/statusNTB.png HTTP/1.1" 200 64880
0:0:0:0:0:0:0:1 - - [15/May/2020:12:52:29 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 33556
0:0:0:0:0:0:0:1 - - [15/May/2020:12:53:12 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [15/May/2020:12:58:54 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 23200
0:0:0:0:0:0:0:1 - - [15/May/2020:12:59:55 +0530] "GET /WebApp-01/RunNoticeProcessing.jsp HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [15/May/2020:12:59:55 +0530] "GET /WebApp-01/IMG/statusNTC.png HTTP/1.1" 200 63876
0:0:0:0:0:0:0:1 - - [15/May/2020:13:00:17 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 33556
0:0:0:0:0:0:0:1 - - [15/May/2020:13:00:43 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4001
0:0:0:0:0:0:0:1 - - [15/May/2020:13:08:47 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [15/May/2020:13:09:22 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=njrbtst&agencyid=GSP&filedate=2020-05-06&trxDate=2020-05-02&ViolType=NOR&NumNotice=10&violnumber=4 HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [15/May/2020:13:09:59 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [15/May/2020:13:10:23 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [15/May/2020:13:10:51 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 27570
0:0:0:0:0:0:0:1 - - [15/May/2020:13:11:29 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 27570
0:0:0:0:0:0:0:1 - - [15/May/2020:13:12:26 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 8894
0:0:0:0:0:0:0:1 - - [15/May/2020:13:12:46 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=T2Z4P4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:13:12:46 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=T2Z4P1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:13:12:46 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=T2Z4P6 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:13:12:46 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=T2Z4P3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:13:12:46 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=T2Z4P5 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:13:12:46 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=T2Z4P2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:13:12:50 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=T2Z4P8 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:13:12:50 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=T2Z4P7 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:13:12:50 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=T2Z4P9 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:13:12:50 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=T2Z4P10 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:13:13:53 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 27414
0:0:0:0:0:0:0:1 - - [15/May/2020:13:14:45 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [15/May/2020:13:15:15 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 27690
0:0:0:0:0:0:0:1 - - [15/May/2020:13:15:39 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 19013
0:0:0:0:0:0:0:1 - - [15/May/2020:13:16:35 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [15/May/2020:13:17:32 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 27498
0:0:0:0:0:0:0:1 - - [15/May/2020:13:18:33 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 16571
0:0:0:0:0:0:0:1 - - [15/May/2020:13:20:43 +0530] "GET /WebApp-01/imageInsert.jsp HTTP/1.1" 200 3348
0:0:0:0:0:0:0:1 - - [15/May/2020:13:21:10 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 10239
0:0:0:0:0:0:0:1 - - [15/May/2020:13:21:26 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 22634
0:0:0:0:0:0:0:1 - - [15/May/2020:13:21:59 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 18979
0:0:0:0:0:0:0:1 - - [15/May/2020:13:23:22 +0530] "GET /WebApp-01/RunNoticeProcessing.jsp HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [15/May/2020:13:23:44 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 27457
0:0:0:0:0:0:0:1 - - [15/May/2020:13:24:13 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [15/May/2020:13:24:49 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [15/May/2020:13:25:07 +0530] "GET /WebApp-01/RunNoticeProcessing.jsp HTTP/1.1" 200 18979
0:0:0:0:0:0:0:1 - - [15/May/2020:13:26:06 +0530] "GET /WebApp-01/RunNoticeProcessing.jsp HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [15/May/2020:13:26:29 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 27457
0:0:0:0:0:0:0:1 - - [15/May/2020:13:26:56 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [15/May/2020:13:31:00 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 19059
0:0:0:0:0:0:0:1 - - [15/May/2020:13:32:05 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 27457
0:0:0:0:0:0:0:1 - - [15/May/2020:13:32:32 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 4001
0:0:0:0:0:0:0:1 - - [15/May/2020:15:51:12 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [15/May/2020:15:51:13 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [15/May/2020:15:51:39 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=njrbtst&agencyid=DRBA&filedate=2020-05-06&trxDate=2020-04-30&ViolType=NOR&NumNotice=6&violnumber=5 HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [15/May/2020:15:52:03 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1917
0:0:0:0:0:0:0:1 - - [15/May/2020:15:53:21 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [15/May/2020:15:53:50 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 21443
0:0:0:0:0:0:0:1 - - [15/May/2020:15:54:50 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 21443
0:0:0:0:0:0:0:1 - - [15/May/2020:16:34:32 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 7067
0:0:0:0:0:0:0:1 - - [15/May/2020:16:42:28 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SD78P4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:16:42:28 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SD78P3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:16:42:28 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SD78P5 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:16:42:28 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SD78P2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:16:42:28 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SD78P6 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:16:42:28 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=SD78P1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/May/2020:16:54:27 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 21323
0:0:0:0:0:0:0:1 - - [15/May/2020:17:04:13 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [15/May/2020:17:04:34 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 21586
0:0:0:0:0:0:0:1 - - [15/May/2020:17:05:10 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12693
0:0:0:0:0:0:0:1 - - [15/May/2020:17:05:52 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [15/May/2020:17:11:41 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 21387
0:0:0:0:0:0:0:1 - - [15/May/2020:17:17:32 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 11289
0:0:0:0:0:0:0:1 - - [15/May/2020:17:47:26 +0530] "GET /WebApp-01/imageInsert.jsp HTTP/1.1" 200 11289
0:0:0:0:0:0:0:1 - - [15/May/2020:17:49:52 +0530] "GET /WebApp-01/imageInsert.jsp HTTP/1.1" 200 3348
0:0:0:0:0:0:0:1 - - [15/May/2020:17:50:10 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 8179
0:0:0:0:0:0:0:1 - - [15/May/2020:17:50:29 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 17599
0:0:0:0:0:0:0:1 - - [15/May/2020:17:51:28 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [15/May/2020:17:52:04 +0530] "GET /WebApp-01/RunNoticeProcessing.jsp HTTP/1.1" 200 14852
0:0:0:0:0:0:0:1 - - [15/May/2020:17:55:56 +0530] "GET /WebApp-01/RunNoticeProcessing.jsp HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [15/May/2020:17:56:40 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 21356
0:0:0:0:0:0:0:1 - - [15/May/2020:17:57:15 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 3204
