127.0.0.1 - - [03/Jun/2020:12:16:45 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Jun/2020:12:17:56 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 9167
0:0:0:0:0:0:0:1 - - [03/Jun/2020:12:17:56 +0530] "GET /WebApp-01/IMG/statusNTB.png HTTP/1.1" 200 64880
0:0:0:0:0:0:0:1 - - [03/Jun/2020:12:18:30 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 3393
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:05:55 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:06:27 +0530] "GET /WebApp-01/ConfirmDetails.jsp?DB=njrbtst&agencyid=SJTA&filedate=2020-05-29&trxDate=2020-05-10&ViolType=NOR&NumNotice=50&violnumber=4 HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:07:09 +0530] "GET /WebApp-01/XferFileCreation.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:07:24 +0530] "POST /WebApp-01/moveAndRun.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:08:08 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 125587
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:08:44 +0530] "GET /WebApp-01/IMG/status4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:08:50 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 125587
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:11 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 27110
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:25 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:25 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:25 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:25 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN5 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:25 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:25 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN6 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:29 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN8 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:29 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN10 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:29 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN7 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:29 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN9 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:29 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN11 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:29 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN12 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:33 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN13 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:33 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN14 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:33 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN18 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:33 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN16 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:33 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN17 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:33 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN15 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:37 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN21 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:37 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN19 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:37 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN20 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:37 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN22 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:37 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN23 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:37 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN24 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:40 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN27 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:40 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:40 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN28 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:40 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN26 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:41 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN30 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:41 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN29 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:44 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN32 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:44 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN31 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:44 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN34 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:44 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN35 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:44 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN33 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:44 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN36 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:48 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN37 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:48 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN38 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:48 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN39 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:48 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN42 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:48 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN40 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:48 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN41 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:52 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN43 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:52 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN45 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:52 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN44 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:52 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN46 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:52 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN47 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:52 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN48 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:56 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN50 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:09:56 +0530] "GET /WebApp-01//buttonServlet?plate_state=NJ&plate_number=S6WAN49 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:15:51 +0530] "GET /WebApp-01/IMG/status5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:15:57 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 124951
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:17:43 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 23081
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:18:13 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 124951
0:0:0:0:0:0:0:1 - - [03/Jun/2020:13:58:54 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [03/Jun/2020:14:00:33 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 125467
0:0:0:0:0:0:0:1 - - [03/Jun/2020:14:01:25 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 83148
0:0:0:0:0:0:0:1 - - [03/Jun/2020:14:04:34 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [03/Jun/2020:14:05:15 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 125355
0:0:0:0:0:0:0:1 - - [03/Jun/2020:14:06:30 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 69421
0:0:0:0:0:0:0:1 - - [03/Jun/2020:14:13:18 +0530] "GET /WebApp-01/imageInsert.jsp HTTP/1.1" 200 3348
0:0:0:0:0:0:0:1 - - [03/Jun/2020:14:13:49 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 42912
0:0:0:0:0:0:0:1 - - [03/Jun/2020:14:14:34 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 103354
0:0:0:0:0:0:0:1 - - [03/Jun/2020:14:15:01 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [03/Jun/2020:14:15:36 +0530] "GET /WebApp-01/RunNoticeProcessing.jsp HTTP/1.1" 200 84963
0:0:0:0:0:0:0:1 - - [03/Jun/2020:14:23:33 +0530] "GET /WebApp-01/RunNoticeProcessing.jsp HTTP/1.1" 200 47020
0:0:0:0:0:0:0:1 - - [03/Jun/2020:14:25:58 +0530] "GET /WebApp-01/RunNoticeProcessing.jsp HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [03/Jun/2020:14:26:32 +0530] "GET /WebApp-01/ExistingViolations.jsp HTTP/1.1" 200 125154
0:0:0:0:0:0:0:1 - - [03/Jun/2020:14:28:08 +0530] "POST /WebApp-01/buttonServlet HTTP/1.1" 200 12342
0:0:0:0:0:0:0:1 - - [03/Jun/2020:15:53:06 +0530] "GET /WebApp-01/CreateNew.jsp HTTP/1.1" 200 5159
